iter	Passed	Remaining
0	169	169099
1	178	89230
2	187	62362
3	196	48907
4	205	40832
5	214	35549
6	224	31804
7	231	28656
8	238	26262
9	244	24224
10	251	22611
11	257	21201
12	264	20069
13	270	19036
14	276	18183
15	283	17424
16	289	16744
17	296	16163
18	302	15627
19	309	15171
20	316	14731
21	323	14367
22	329	14016
23	337	13705
24	341	13333
25	348	13043
26	355	12801
27	362	12588
28	371	12433
29	379	12278
30	387	12126
31	397	12019
32	407	11932
33	416	11824
34	426	11756
35	439	11781
36	453	11797
37	465	11796
38	477	11770
39	489	11759
40	502	11744
41	513	11721
42	527	11728
43	540	11752
44	554	11766
45	569	11814
46	583	11828
47	598	11870
48	613	11902
49	628	11949
50	645	12014
51	658	12012
52	672	12011
53	686	12029
54	701	12052
55	715	12053
56	728	12046
57	742	12067
58	756	12062
59	770	12071
60	784	12077
61	797	12068
62	811	12062
63	824	12056
64	836	12034
65	849	12021
66	861	11997
67	874	11987
68	885	11949
69	892	11864
70	904	11831
71	916	11808
72	928	11792
73	940	11770
74	952	11750
75	964	11722
76	975	11689
77	988	11679
78	1001	11677
79	1014	11661
80	1024	11628
81	1036	11604
82	1047	11572
83	1058	11541
84	1068	11497
85	1078	11459
86	1088	11424
87	1099	11397
88	1112	11384
89	1124	11369
90	1136	11356
91	1149	11342
92	1161	11329
93	1171	11292
94	1180	11248
95	1190	11214
96	1201	11182
97	1212	11163
98	1222	11123
99	1233	11101
100	1245	11090
101	1258	11079
102	1271	11074
103	1285	11072
104	1299	11075
105	1311	11065
106	1325	11060
107	1335	11033
108	1346	11007
109	1356	10979
110	1368	10956
111	1378	10928
112	1388	10898
113	1398	10869
114	1408	10842
115	1418	10809
116	1431	10804
117	1444	10799
118	1457	10792
119	1469	10779
120	1483	10774
121	1496	10771
122	1510	10767
123	1522	10755
124	1535	10748
125	1550	10755
126	1563	10747
127	1575	10729
128	1588	10724
129	1600	10709
130	1625	10781
131	1639	10778
132	1652	10774
133	1667	10775
134	1681	10775
135	1695	10773
136	1709	10769
137	1725	10777
138	1739	10773
139	1753	10770
140	1769	10780
141	1783	10776
142	1797	10771
143	1811	10768
144	1822	10747
145	1836	10743
146	1849	10732
147	1862	10720
148	1875	10711
149	1888	10698
150	1900	10685
151	1912	10671
152	1924	10654
153	1935	10631
154	1946	10609
155	1956	10584
156	1966	10556
157	1975	10529
158	1985	10501
159	1995	10475
160	2005	10452
161	2016	10429
162	2025	10403
163	2035	10374
164	2044	10346
165	2054	10319
166	2063	10293
167	2073	10266
168	2083	10243
169	2092	10217
170	2101	10189
171	2110	10160
172	2121	10139
173	2130	10113
174	2141	10096
175	2151	10071
176	2160	10046
177	2169	10017
178	2181	10005
179	2194	9997
180	2207	9990
181	2218	9971
182	2230	9959
